DateID,Day of week,Dayweek,Month,Year
Date522,Weekday,Friday,11,2001
Date523,Weekday,Wednesday,1,1991
Date524,Weekday,Friday,5,2001
Date525,Weekday,Wednesday,9,1998
Date526,Weekend,Sunday,5,2016
Date527,Weekend,Friday,9,1990
Date528,Weekday,Friday,3,2005
Date529,Weekday,Tuesday,11,1991
Date530,Weekday,Wednesday,6,2017
Date531,Weekday,Monday,1,2014
Date532,Weekday,Monday,11,2008
Date533,Weekend,Friday,2,2015
Date534,Weekday,Friday,8,2023
Date535,Weekday,Friday,1,1992
Date536,Weekend,Monday,4,2008
Date537,Weekday,Monday,2,2022
Date538,Weekday,Wednesday,9,2002
Date539,Weekend,Friday,9,2021
Date540,Weekday,Tuesday,8,2003
Date541,Weekday,Tuesday,12,2010
Date542,Weekday,Wednesday,3,2006
Date543,Weekday,Thursday,9,2015
Date544,Weekend,Friday,8,1996
Date545,Weekday,Thursday,10,2004
Date546,Weekend,Sunday,8,1997
Date547,Weekend,Friday,4,2010
Date548,Weekday,Friday,10,1990
Date549,Weekday,Monday,11,1998
Date550,Weekday,Wednesday,7,2018
Date551,Weekday,Monday,4,2004
Date552,Weekday,Friday,3,2023
Date553,Weekend,Friday,12,2003
Date554,Weekday,Wednesday,10,2010
Date555,Weekend,Saturday,11,2020
Date556,Weekday,Tuesday,5,2013
Date557,Weekend,Sunday,10,1993
Date558,Weekday,Thursday,1,2000
Date559,Weekday,Tuesday,9,2019
Date560,Weekday,Thursday,6,2002
Date561,Weekend,Sunday,6,1991
Date562,Weekday,Wednesday,2,2008
Date563,Weekend,Sunday,4,1989
Date564,Weekend,Friday,4,2016
Date565,Weekday,Friday,8,2020
Date566,Weekday,Wednesday,2,2003
Date567,Weekday,Monday,11,2020
Date568,Weekday,Monday,2,2015
Date569,Weekend,Friday,9,2017
Date570,Weekday,Thursday,2,2007
Date571,Weekend,Saturday,12,2005
Date572,Weekend,Saturday,8,2020
Date573,Weekend,Monday,1,2020
Date574,Weekend,Sunday,2,2006
Date575,Weekend,Friday,11,1995
Date576,Weekend,Sunday,1,2023
Date577,Weekday,Friday,11,2017
Date578,Weekday,Tuesday,8,2016
Date579,Weekday,Wednesday,9,2013
Date580,Weekday,Friday,9,1990
Date581,Weekday,Wednesday,7,2020
Date582,Weekday,Wednesday,12,2023
Date583,Weekday,Friday,12,2018
Date584,Weekend,Friday,6,2024
Date585,Weekend,Saturday,8,1997
Date586,Weekday,Friday,9,2014
Date587,Weekend,Sunday,4,2019
Date588,Weekend,Friday,11,2013
Date589,Weekday,Wednesday,12,2006
Date590,Weekday,Monday,3,2011
Date591,Weekend,Saturday,6,2019
Date592,Weekday,Monday,3,1992
Date593,Weekend,Monday,3,2023
Date594,Weekend,Friday,7,1992
Date595,Weekend,Friday,4,2023
Date596,Weekday,Thursday,10,2024
Date597,Weekday,Monday,5,2024
Date598,Weekday,Wednesday,2,2009
Date599,Weekend,Saturday,3,1992
Date600,Weekday,Tuesday,12,2013
Date601,Weekend,Saturday,7,1990
Date602,Weekday,Friday,11,2002
Date603,Weekday,Tuesday,11,2013
Date604,Weekend,Saturday,6,1991
Date605,Weekend,Friday,8,2013
Date606,Weekday,Tuesday,10,1995
Date607,Weekend,Sunday,6,1990
Date608,Weekday,Friday,8,2006
Date609,Weekend,Friday,11,2014
Date610,Weekday,Thursday,1,1991
Date611,Weekend,Saturday,11,2011
Date612,Weekday,Monday,12,1994
Date613,Weekend,Sunday,1,2014
Date614,Weekday,Friday,1,2009
Date615,Weekday,Tuesday,12,2014
Date616,Weekend,Monday,9,1995
Date617,Weekend,Friday,3,2023
Date618,Weekday,Friday,7,2009
Date619,Weekend,Friday,7,2014
Date620,Weekday,Tuesday,10,2020
Date621,Weekday,Thursday,9,2002
Date622,Weekend,Friday,7,1998
Date623,Weekday,Wednesday,7,1990
Date624,Weekend,Friday,9,1998
Date625,Weekday,Tuesday,12,2018
Date626,Weekday,Monday,7,1998
Date627,Weekday,Tuesday,3,1993
Date628,Weekday,Tuesday,6,2016
Date629,Weekend,Monday,12,2010
Date630,Weekend,Friday,5,2002
Date631,Weekday,Monday,5,2022
Date632,Weekend,Saturday,8,2024
Date633,Weekday,Thursday,6,1989
Date634,Weekday,Tuesday,6,2015
Date635,Weekday,Thursday,2,1999
Date636,Weekend,Saturday,6,2022
Date637,Weekday,Tuesday,2,2015
Date638,Weekday,Tuesday,5,1992
Date639,Weekday,Friday,12,1990
Date640,Weekday,Friday,6,2015
Date641,Weekday,Friday,5,2013
Date642,Weekday,Wednesday,8,2013
Date643,Weekend,Friday,2,2020
Date644,Weekend,Saturday,7,2019
Date645,Weekend,Saturday,4,1995
Date646,Weekday,Monday,9,2024
Date647,Weekday,Wednesday,9,2022
Date648,Weekday,Wednesday,4,2000
Date649,Weekday,Wednesday,6,2019
Date650,Weekend,Saturday,6,2012
Date651,Weekend,Monday,11,2005
Date652,Weekend,Saturday,3,2010
Date653,Weekend,Monday,12,2006
Date654,Weekend,Friday,4,2000
Date655,Weekday,Monday,3,2005
Date656,Weekend,Monday,7,2021
Date657,Weekday,Thursday,5,2000
Date658,Weekend,Saturday,12,1994
Date659,Weekday,Friday,9,2012
Date660,Weekend,Friday,11,1991
Date661,Weekend,Sunday,9,1990
Date662,Weekend,Friday,6,1993
Date663,Weekday,Tuesday,3,2011
Date664,Weekday,Wednesday,9,2023
Date665,Weekday,Wednesday,12,2016
Date666,Weekday,Friday,12,2000
Date667,Weekday,Friday,1,2001
Date668,Weekend,Friday,6,2006
Date669,Weekend,Sunday,1,2004
Date670,Weekday,Monday,9,1991
Date671,Weekday,Wednesday,5,2004
Date672,Weekend,Monday,12,2018
Date673,Weekend,Sunday,4,1992
Date674,Weekend,Sunday,5,2010
Date675,Weekend,Saturday,4,2024
Date676,Weekend,Sunday,9,2023
Date677,Weekday,Monday,3,2009
Date678,Weekend,Monday,4,2001
Date679,Weekend,Sunday,8,2012
Date680,Weekend,Saturday,4,2021
Date681,Weekday,Monday,12,2012
Date682,Weekday,Friday,11,2019
Date683,Weekend,Sunday,4,2015
Date684,Weekend,Sunday,5,1997
Date685,Weekend,Friday,9,2008
Date686,Weekday,Monday,12,2016
Date687,Weekday,Friday,2,2011
Date688,Weekday,Monday,6,1991
Date689,Weekend,Sunday,2,2003
Date690,Weekday,Wednesday,4,2018
Date691,Weekday,Tuesday,8,1995
Date692,Weekday,Wednesday,10,1993
Date693,Weekday,Monday,1,2001
Date694,Weekend,Sunday,5,1990
Date695,Weekend,Monday,2,2009
Date696,Weekday,Monday,5,2004
Date697,Weekday,Monday,12,2000
Date698,Weekday,Tuesday,7,2023
Date699,Weekend,Sunday,8,2015
Date700,Weekday,Tuesday,10,2021
Date701,Weekend,Friday,4,1999
Date702,Weekend,Saturday,12,2021
Date703,Weekday,Tuesday,7,2006
Date704,Weekday,Thursday,4,2001
Date705,Weekend,Monday,11,2012
Date706,Weekday,Thursday,10,2008
Date707,Weekend,Friday,4,2006
Date708,Weekday,Tuesday,4,2018
Date709,Weekday,Monday,6,1999
Date710,Weekday,Tuesday,3,2018
Date711,Weekday,Friday,12,2019
Date712,Weekday,Wednesday,4,2010
Date713,Weekend,Saturday,5,2008
Date714,Weekday,Monday,6,2008
Date715,Weekday,Friday,2,2004
Date716,Weekend,Saturday,1,2017
Date717,Weekend,Saturday,3,2007
Date718,Weekend,Friday,2,1997
Date719,Weekday,Wednesday,7,1992
Date720,Weekend,Monday,2,2007
Date721,Weekend,Monday,5,1998
Date722,Weekend,Friday,11,1992
Date723,Weekday,Wednesday,4,2012
Date724,Weekend,Sunday,6,2003
Date725,Weekday,Thursday,11,2013
Date726,Weekday,Monday,11,2015
Date727,Weekday,Monday,5,2000
Date728,Weekday,Monday,1,2007
Date729,Weekday,Tuesday,12,1992
Date730,Weekday,Wednesday,2,1994
Date731,Weekend,Sunday,9,2010
Date732,Weekend,Sunday,5,2017
Date733,Weekday,Tuesday,2,1989
Date734,Weekday,Wednesday,2,2011
Date735,Weekday,Wednesday,10,2004
Date736,Weekend,Sunday,7,2020
Date737,Weekday,Tuesday,10,1994
Date738,Weekday,Friday,4,2018
