FatalityId,Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities
Fatality9573,20243144,Qld,12,1989,Tuesday,06:00:00.000000000,Multiple,No,No,Yes,100,Driver,Male,60,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway,No,No,40_to_64,Weekday,Day,1
Fatality9574,20161282,NSW,5,1993,Thursday,02:44:00.000000000,Multiple,No,No,Yes,100,Driver,Male,27,Outer Regional Australia,Murray,Edward River,National or State Highway,No,Yes,26_to_39,Weekday,Night,1
Fatality9575,20151052,NSW,9,1994,Wednesday,15:20:00.000000000,Single,No,No,Yes,60,Pedestrian,Male,65,Major Cities of Australia,Sydney - Ryde,Parramatta,Arterial Road,No,No,65_to_74,Weekday,Day,1
Fatality9576,20241220,NSW,11,1989,Monday,14:15:00.000000000,Multiple,No,No,No,80,Driver,Female,44,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Sub-arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9577,20192028,Vic,6,1991,Friday,14:40:00.000000000,Multiple,No,No,No,100,Passenger,Male,39,Inner Regional Australia,Shepparton,Moira,National or State Highway,No,No,26_to_39,Weekday,Night,2
Fatality9578,20243152,Qld,10,1989,Thursday,21:00:00.000000000,Single,No,No,No,80,Driver,Male,51,Inner Regional Australia,Gold Coast,Gold Coast,Sub-arterial Road,No,No,40_to_64,Weekday,Night,1
Fatality9579,20214070,SA,6,1990,Thursday,14:05:00.000000000,Single,No,No,No,110,Driver,Male,90,Outer Regional Australia,South Australia - South East,Tatiara,Arterial Road,No,No,75_or_older,Weekday,Day,2
Fatality9580,20172233,Vic,3,1992,Saturday,01:20:00.000000000,Single,No,No,No,100,Driver,Male,25,Inner Regional Australia,Shepparton,Campaspe,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1
Fatality9581,20243249,Qld,12,1989,Friday,18:00:00.000000000,Single,No,No,No,100,Motorcycle rider,Male,44,Remote Australia,Central Queensland,Central Highlands (Qld),Collector Road,No,No,40_to_64,Weekend,Night,1
Fatality9582,20172062,Vic,12,1993,Friday,00:30:00.000000000,Single,No,No,No,100,Driver,Male,39,Outer Regional Australia,Warrnambool and South West,Glenelg,Arterial Road,No,No,26_to_39,Weekday,Night,1
Fatality9583,20153115,Qld,12,1994,Wednesday,11:00:00.000000000,Multiple,No,No,No,60,Driver,Male,82,Unknown,Unknown,Unknown,Undetermined,No,No,75_or_older,Weekday,Day,1
Fatality9584,20155123,WA,8,1994,Tuesday,18:45:00.000000000,Multiple,No,No,No,60,Driver,Male,77,Major Cities of Australia,Perth - North East,Bayswater,Arterial Road,No,No,75_or_older,Weekday,Night,1
Fatality9585,20223163,Qld,1,1989,Wednesday,13:00:00.000000000,Multiple,No,Yes,Yes,100,Passenger,Female,21,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway,No,No,17_to_25,Weekday,Day,2
