TimeID,Time of day,Time
Time616,Night,18:05:00.000000000
Time617,Day,13:51:00.000000000
Time618,Night,05:18:00.000000000
Time619,Day,13:10:00.000000000
Time620,Night,00:09:00.000000000
Time621,Day,17:24:00.000000000
Time622,Day,07:03:00.000000000
Time623,Night,04:09:00.000000000
Time624,Day,13:36:00.000000000
Time625,Night,05:52:00.000000000
Time626,Night,20:43:00.000000000
Time627,Night,04:42:00.000000000
Time628,Day,07:27:00.000000000
Time629,Night,22:34:00.000000000
Time630,Night,21:53:00.000000000
Time631,Day,11:39:00.000000000
Time632,Night,21:21:00.000000000
Time633,Night,22:58:00.000000000
Time634,Day,12:37:00.000000000
Time635,Night,22:16:00.000000000
Time636,Day,11:24:00.000000000
Time637,Night,03:05:00.000000000
Time638,Day,11:09:00.000000000
Time639,Night,01:54:00.000000000
Time640,Day,12:56:00.000000000
Time641,Day,09:07:00.000000000
Time642,Night,00:48:00.000000000
Time643,Day,07:23:00.000000000
Time644,Day,15:55:00.000000000
Time645,Night,20:44:00.000000000
Time646,Day,10:48:00.000000000
Time647,Night,01:40:00.000000000
Time648,Night,09:00:00.000000000
Time649,Night,19:41:00.000000000
Time650,Day,15:32:00.000000000
Time651,Night,23:18:00.000000000
Time652,Day,16:25:00.000000000
Time653,Day,06:22:00.000000000
Time654,Day,10:29:00.000000000
Time655,Night,20:48:00.000000000
Time656,Night,03:35:00.000000000
Time657,Day,12:08:00.000000000
Time658,Night,18:36:00.000000000
Time659,Day,09:38:00.000000000
Time660,Day,12:52:00.000000000
Time661,Day,13:29:00.000000000
Time662,Day,10:07:00.000000000
Time663,Night,02:35:00.000000000
Time664,Day,17:57:00.000000000
Time665,Day,14:14:00.000000000
Time666,Day,08:41:00.000000000
Time667,Day,12:09:00.000000000
Time668,Night,05:21:00.000000000
Time669,Day,16:59:00.000000000
Time670,Day,12:34:00.000000000
Time671,Night,23:11:00.000000000
Time672,Night,19:03:00.000000000
Time673,Day,14:52:00.000000000
Time674,Day,07:25:00.000000000
Time675,Day,15:38:00.000000000
Time676,Night,02:01:00.000000000
Time677,Day,16:47:00.000000000
Time678,Day,09:43:00.000000000
Time679,Night,16:53:00.000000000
Time680,Night,22:47:00.000000000
Time681,Night,02:40:00.000000000
Time682,Night,16:16:00.000000000
Time683,Day,13:45:00.000000000
Time684,Night,22:29:00.000000000
Time685,Night,12:40:00.000000000
Time686,Night,19:59:00.000000000
Time687,Day,14:47:00.000000000
Time688,Night,22:00:00.000000000
Time689,Night,05:28:00.000000000
Time690,Day,07:04:00.000000000
Time691,Day,10:03:00.000000000
Time692,Night,00:55:00.000000000
Time693,Night,20:39:00.000000000
Time694,Day,10:10:00.000000000
Time695,Day,11:28:00.000000000
Time696,Night,05:40:00.000000000
Time697,Day,10:12:00.000000000
Time698,Day,14:49:00.000000000
Time699,Night,21:19:00.000000000
Time700,Night,07:08:00.000000000
Time701,Day,10:09:00.000000000
Time702,Day,11:54:00.000000000
Time703,Day,10:01:00.000000000
Time704,Day,08:25:00.000000000
